epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,187.058,0.91344,1.96394,2.06025,1.21209,0,0.48919,0.92273,0.71597,0.54873,0.47877,0.91443,0.70363,0.49378,0.69055,1.63503,1.69405,1.01907,0,0.000411458,0.000411458,0.000411458
2,379.503,0.79575,1.64429,1.15284,1.07978,0,0.58209,0.9055,0.79935,0.59311,0.57755,0.89925,0.78343,0.57443,0.86153,1.4836,1.68704,1.14632,0,0.000819927,0.000819927,0.000819927
3,566.441,0.86143,1.52528,1.04157,1.10298,0,0.69014,0.72338,0.8791,0.59685,0.69553,0.72882,0.88658,0.60668,0.91129,1.75805,3.24606,1.14515,0,0.00122014,0.00122014,0.00122014
4,763.595,0.85168,1.42817,1.00882,1.06587,0,0.82707,0.7637,0.70138,0.54447,0.82707,0.7637,0.69941,0.51514,0.73073,1.42521,1.86453,1.02978,0,0.00121287,0.00121287,0.00121287
5,953.686,0.70943,1.281,0.94889,1.00195,0,0.86073,0.96095,0.97642,0.77763,0.85537,0.9547,0.9699,0.75939,0.70565,1.30903,0.81991,1.02501,0,0.0012005,0.0012005,0.0012005
6,1141.42,0.7368,1.15686,0.71093,1.0066,0,0.9091,0.97206,0.97581,0.78121,0.90295,0.96581,0.9675,0.78722,0.67182,1.0329,0.72083,1.0062,0,0.00118812,0.00118812,0.00118812
7,1321.5,0.61577,1.01026,0.62433,0.95987,0,0.89166,0.96998,0.98012,0.84924,0.88585,0.96378,0.97106,0.8313,0.54585,0.94206,0.59884,0.95443,0,0.00117575,0.00117575,0.00117575
8,1504.76,0.60579,0.93593,0.51296,0.9539,0,0.96234,0.98534,0.98897,0.82093,0.96234,0.98534,0.98885,0.81456,0.62135,0.91102,0.51777,0.969,0,0.00116337,0.00116337,0.00116337
9,1685.51,0.58713,0.88122,0.49457,0.93998,0,0.8728,0.92885,0.96528,0.8276,0.86671,0.9226,0.96028,0.83253,0.59692,0.87744,0.65673,0.95653,0,0.001151,0.001151,0.001151
10,1876.98,0.54699,0.81266,0.44887,0.91908,0,0.94868,0.975,0.98729,0.87864,0.94244,0.96875,0.98484,0.86635,0.47831,0.86383,0.43808,0.8977,0,0.00113863,0.00113863,0.00113863
