epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,182.356,0.99842,2.0572,8.18599,1.17484,0,0.49897,0.86085,0.74988,0.5643,0.49562,0.85254,0.74208,0.50098,0.69285,1.73247,7.31149,1.01558,0,0.000411458,0.000411458,0.000411458
2,414.425,0.72411,1.3916,4.38044,0.97547,0,0.68361,0.79574,0.86212,0.62469,0.69612,0.80467,0.86559,0.5559,0.86977,1.94205,6.76455,1.03357,0,0.000819927,0.000819927,0.000819927
3,615.165,0.81541,1.42075,4.16009,1.00116,0,0.73973,0.62374,0.73132,0.47555,0.75553,0.6374,0.74716,0.50014,0.94478,1.70105,7.60504,1.09287,0,0.00122014,0.00122014,0.00122014
4,813.274,0.90565,2.13563,4.14811,1.02403,0,0.6743,0.82399,0.85496,0.60935,0.6743,0.82399,0.85158,0.63415,0.89705,1.4228,5.29299,1.00699,0,0.00121287,0.00121287,0.00121287
5,1024.11,0.88548,1.67764,3.82647,0.99136,0,0.55797,0.68676,0.74232,0.49239,0.51445,0.58125,0.59631,0.37185,1.14395,2.58349,8.28868,1.13543,0,0.0012005,0.0012005,0.0012005
6,1244.86,0.84713,1.56785,3.05176,0.96458,0,0.81746,0.99287,0.95597,0.6891,0.80721,0.9807,0.94548,0.66023,0.9533,1.55528,3.06966,1.01383,0,0.00118812,0.00118812,0.00118812
7,1433.14,0.76364,1.34963,2.42024,0.93373,0,0.91816,0.97476,0.99349,0.80646,0.91349,0.96851,0.98833,0.77058,0.67282,1.23107,2.62379,0.91227,0,0.00117575,0.00117575,0.00117575
8,1650.64,0.78807,1.18446,2.254,0.93285,0,0.94626,0.9875,0.97461,0.80551,0.94002,0.98125,0.9693,0.77034,0.68098,1.1756,2.31574,0.91207,0,0.00116337,0.00116337,0.00116337
9,1845.85,0.78949,1.22686,2.19839,0.93261,0,0.93536,0.87183,0.98204,0.74959,0.92916,0.86558,0.97466,0.77617,0.83052,1.12342,2.84442,0.97617,0,0.001151,0.001151,0.001151
10,2046.13,0.7858,1.07849,2.09154,0.92681,0,0.90102,0.90496,0.9546,0.78969,0.89488,0.89871,0.94741,0.77263,0.69978,1.01577,2.54224,0.91699,0,0.00113863,0.00113863,0.00113863
11,2328.54,0.70155,1.02589,1.90411,0.89291,0,0.97298,0.97976,0.99105,0.828,0.96653,0.97351,0.98399,0.83769,0.67183,0.96058,1.9373,0.89969,0,0.00112625,0.00112625,0.00112625
12,2536.03,0.62519,0.93754,1.73833,0.88707,0,0.99072,1,0.995,0.84836,0.9845,0.99375,0.98795,0.83816,0.59083,0.91981,1.63862,0.88065,0,0.00111388,0.00111388,0.00111388
13,2740.22,0.55363,0.8791,1.59169,0.85769,0,0.99612,1,0.995,0.86523,0.98991,0.99375,0.98934,0.857,0.54401,0.82783,1.43644,0.86643,0,0.0011015,0.0011015,0.0011015
14,2954.02,0.56175,0.88561,1.48238,0.85649,0,0.98478,1,0.99488,0.86542,0.98478,1,0.99488,0.87245,0.56613,0.79141,1.44648,0.87225,0,0.00108913,0.00108913,0.00108913
15,3180.91,0.5374,0.82289,1.44732,0.84962,0,0.98881,0.99654,0.995,0.88488,0.993,0.99219,0.99,0.86526,0.50067,0.80989,1.43108,0.85851,0,0.00107675,0.00107675,0.00107675
16,3387.15,0.48393,0.80607,1.35413,0.84109,0,0.99445,0.99851,0.995,0.89992,0.99445,0.99851,0.995,0.88011,0.45582,0.81782,1.33395,0.83927,0,0.00106437,0.00106437,0.00106437
17,3617.34,0.48759,0.74459,1.33331,0.83976,0,0.95736,1,0.9876,0.87711,0.95736,1,0.9876,0.89032,0.48339,0.75763,1.48001,0.84873,0,0.001052,0.001052,0.001052
18,3830.85,0.47817,0.72247,1.32916,0.84586,0,0.99484,0.99809,0.995,0.8823,0.99484,0.99809,0.995,0.88651,0.4917,0.76475,1.36703,0.86419,0,0.00103962,0.00103962,0.00103962
19,4052.27,0.48955,0.70059,1.32521,0.83601,0,0.97533,0.99866,0.99434,0.89352,0.97533,0.99866,0.99434,0.90014,0.46114,0.65678,1.32712,0.83941,0,0.00102725,0.00102725,0.00102725
20,4290.54,0.46477,0.67974,1.24639,0.83811,0,0.99198,0.99542,0.995,0.90899,0.99198,0.99542,0.995,0.89922,0.44025,0.67609,1.23103,0.84488,0,0.00101488,0.00101488,0.00101488
21,4519.97,0.44517,0.63856,1.19966,0.83509,0,0.99193,0.99586,0.99488,0.91854,0.99193,0.99586,0.99488,0.91881,0.41127,0.6157,1.15623,0.82651,0,0.0010025,0.0010025,0.0010025
22,4761.05,0.4386,0.61478,1.18889,0.82499,0,0.99737,0.99668,0.995,0.91958,0.98822,0.9875,0.99258,0.91073,0.42279,0.65326,1.17984,0.83289,0,0.000990125,0.000990125,0.000990125
23,5004.58,0.42708,0.66151,1.17654,0.81124,0,0.99383,0.99829,0.995,0.91093,0.99383,0.99829,0.995,0.87738,0.42184,0.94897,1.1809,0.82714,0,0.00097775,0.00097775,0.00097775
24,5229.44,0.44767,0.66421,1.17448,0.82821,0,0.99195,1,0.995,0.91166,0.98572,0.99375,0.99,0.90843,0.42266,0.63153,1.16953,0.828,0,0.000965375,0.000965375,0.000965375
25,5472.48,0.43044,0.59375,1.16611,0.81262,0,0.99279,0.9998,0.99488,0.90984,0.98685,0.99322,0.98988,0.91471,0.44461,0.5887,1.21069,0.82905,0,0.000953,0.000953,0.000953
26,5704.1,0.4414,0.55633,1.19084,0.82065,0,0.99563,0.99829,0.995,0.91965,0.99563,0.99829,0.995,0.9219,0.42474,0.57537,1.20443,0.8298,0,0.000940625,0.000940625,0.000940625
27,5913.41,0.4107,0.5301,1.10667,0.81323,0,0.99734,0.99375,0.99488,0.92045,0.99734,0.99375,0.99488,0.92255,0.39352,0.59273,1.11859,0.82657,0,0.00092825,0.00092825,0.00092825
28,6105.57,0.4193,0.52154,1.13328,0.81552,0,0.99541,0.99812,0.995,0.93593,0.99541,0.99812,0.995,0.92672,0.37443,0.56139,1.07255,0.81763,0,0.000915875,0.000915875,0.000915875
29,6307.81,0.39017,0.49971,1.08968,0.80562,0,0.99741,0.99718,0.995,0.92945,0.99741,0.99718,0.995,0.92686,0.39835,0.57301,1.07471,0.83936,0,0.0009035,0.0009035,0.0009035
30,6523.71,0.39235,0.46962,1.08356,0.80845,0,0.99214,0.99646,0.99488,0.93137,0.99214,0.99646,0.99488,0.93331,0.38671,0.52695,1.05794,0.81785,0,0.000891125,0.000891125,0.000891125
31,6714.2,0.39055,0.45752,1.06815,0.81013,0,0.99294,0.99634,0.995,0.93224,0.99294,0.99634,0.995,0.93259,0.3762,0.50974,1.05001,0.81557,0,0.00087875,0.00087875,0.00087875
32,6904.15,0.39864,0.44987,1.11299,0.80403,0,0.99132,0.99539,0.995,0.92839,0.99132,0.99539,0.995,0.92973,0.36916,0.51904,1.07208,0.81504,0,0.000866375,0.000866375,0.000866375
33,7096.23,0.38193,0.43696,1.03941,0.80818,0,0.99256,1,0.995,0.92414,0.99256,1,0.995,0.92695,0.38576,0.51608,1.04113,0.81852,0,0.000854,0.000854,0.000854
34,7311.36,0.37413,0.41109,1.01211,0.79689,0,0.99249,0.99989,0.995,0.93095,0.99249,0.99989,0.995,0.93652,0.36064,0.46481,0.9809,0.81289,0,0.000841625,0.000841625,0.000841625
35,7529.25,0.3508,0.41025,0.98059,0.79233,0,0.99221,1,0.995,0.94607,0.99221,1,0.995,0.93617,0.35595,0.48751,0.94202,0.81428,0,0.00082925,0.00082925,0.00082925
36,7728.1,0.35092,0.40817,0.97021,0.796,0,0.99719,1,0.995,0.94138,0.99719,1,0.995,0.94047,0.36151,0.47582,0.97291,0.81359,0,0.000816875,0.000816875,0.000816875
37,7914.51,0.34635,0.40062,0.96453,0.80115,0,0.99724,1,0.995,0.94732,0.99724,1,0.995,0.93721,0.33326,0.49832,0.93113,0.81003,0,0.0008045,0.0008045,0.0008045
38,8104.37,0.33565,0.38732,0.93395,0.79839,0,0.99428,1,0.995,0.93417,0.98807,0.99375,0.98919,0.92933,0.3619,0.51172,1.02017,0.81682,0,0.000792125,0.000792125,0.000792125
