epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2228.64,0.39764,0.71865,0.89843,0.99764,1,0.995,0.98898,0.21448,0.3485,0.77383,0.00073025,0.00073025,0.00073025
44,2264,0.39893,0.69934,0.89483,0.99709,1,0.995,0.9904,0.2098,0.34906,0.77506,0.000717875,0.000717875,0.000717875
45,2304.42,0.36389,0.6797,0.86813,0.99595,1,0.995,0.99187,0.1972,0.35267,0.77534,0.0007055,0.0007055,0.0007055
46,2356.04,0.374,0.69191,0.89469,0.99684,1,0.995,0.99152,0.19488,0.34275,0.77524,0.000693125,0.000693125,0.000693125
47,2393.11,0.38655,0.68011,0.89604,0.99708,1,0.995,0.98922,0.21551,0.34716,0.77314,0.00068075,0.00068075,0.00068075
48,2426.75,0.37049,0.62202,0.88328,0.99659,1,0.995,0.98807,0.1988,0.33578,0.77302,0.000668375,0.000668375,0.000668375
49,2460.06,0.37902,0.68018,0.87911,0.99568,1,0.995,0.99194,0.19627,0.34068,0.7742,0.000656,0.000656,0.000656
50,2496.55,0.36,0.60862,0.88461,0.99879,0.99945,0.995,0.98726,0.2394,0.34311,0.77812,0.000643625,0.000643625,0.000643625
51,2540.31,0.35212,0.60266,0.87841,0.99787,1,0.995,0.99407,0.18904,0.32876,0.77226,0.00063125,0.00063125,0.00063125
52,2589.14,0.37601,0.65895,0.89077,0.99848,1,0.995,0.97692,0.27142,0.3406,0.7804,0.000618875,0.000618875,0.000618875
53,2623.67,0.37666,0.62926,0.87836,0.99831,1,0.995,0.99391,0.17709,0.30754,0.77175,0.0006065,0.0006065,0.0006065
54,2656.33,0.38386,0.61665,0.89367,0.99813,1,0.995,0.9781,0.24031,0.32304,0.77633,0.000594125,0.000594125,0.000594125
55,2691.46,0.35078,0.58715,0.87094,0.99749,1,0.995,0.99389,0.16414,0.30265,0.77033,0.00058175,0.00058175,0.00058175
56,2727.53,0.35531,0.59783,0.8796,0.99749,1,0.995,0.98068,0.24899,0.32073,0.77808,0.000569375,0.000569375,0.000569375
57,2776.29,0.35499,0.57819,0.87561,0.9969,1,0.995,0.995,0.15515,0.29532,0.76906,0.000557,0.000557,0.000557
58,2816.99,0.32693,0.55225,0.87205,0.99703,1,0.995,0.98042,0.22377,0.31473,0.77413,0.000544625,0.000544625,0.000544625
59,2849.49,0.33998,0.59614,0.87557,0.99806,1,0.995,0.99304,0.16279,0.27921,0.76946,0.00053225,0.00053225,0.00053225
60,2881.91,0.32677,0.51928,0.86647,0.99731,1,0.995,0.9945,0.18844,0.28839,0.77195,0.000519875,0.000519875,0.000519875
61,2920.02,0.32025,0.556,0.86608,0.9974,1,0.995,0.995,0.14418,0.27361,0.76813,0.0005075,0.0005075,0.0005075
62,2971.22,0.31797,0.56284,0.86935,0.9977,1,0.995,0.99397,0.18229,0.28373,0.7706,0.000495125,0.000495125,0.000495125
63,3018.52,0.32541,0.58503,0.87544,0.99719,1,0.995,0.995,0.15054,0.27452,0.76854,0.00048275,0.00048275,0.00048275
64,3052.45,0.31208,0.53388,0.85818,0.9979,1,0.995,0.99307,0.21783,0.29552,0.77418,0.000470375,0.000470375,0.000470375
65,3085.29,0.31608,0.53806,0.86321,0.998,1,0.995,0.99438,0.15516,0.27695,0.76883,0.000458,0.000458,0.000458
66,3121.86,0.32988,0.52369,0.86733,0.99813,1,0.995,0.98009,0.23182,0.29458,0.77561,0.000445625,0.000445625,0.000445625
67,3171.56,0.32187,0.57017,0.86662,0.99733,1,0.995,0.99444,0.15288,0.26653,0.76897,0.00043325,0.00043325,0.00043325
68,3215.51,0.32937,0.52339,0.87244,0.99731,1,0.995,0.98594,0.21061,0.28111,0.77287,0.000420875,0.000420875,0.000420875
69,3248.84,0.30481,0.51664,0.86167,0.99763,1,0.995,0.995,0.15322,0.26387,0.76824,0.0004085,0.0004085,0.0004085
70,3282.79,0.29696,0.52974,0.84725,0.99749,1,0.995,0.99398,0.18748,0.2723,0.77187,0.000396125,0.000396125,0.000396125
71,3319.59,0.29437,0.5149,0.85135,0.9968,1,0.995,0.995,0.15823,0.27036,0.76982,0.00038375,0.00038375,0.00038375
72,3370.17,0.29697,0.51382,0.87452,0.99774,1,0.995,0.9932,0.15277,0.26383,0.76988,0.000371375,0.000371375,0.000371375
73,3415.17,0.29121,0.47842,0.86728,0.99804,1,0.995,0.995,0.1377,0.25423,0.7678,0.000359,0.000359,0.000359
74,3448.23,0.28409,0.49,0.86025,0.99831,1,0.995,0.9942,0.18116,0.26092,0.77056,0.000346625,0.000346625,0.000346625
75,3482.17,0.28903,0.51616,0.86202,0.99826,1,0.995,0.995,0.13569,0.24444,0.76779,0.00033425,0.00033425,0.00033425
76,3519.91,0.29131,0.48934,0.86658,0.99771,1,0.995,0.995,0.14275,0.24905,0.76794,0.000321875,0.000321875,0.000321875
77,3576.56,0.2937,0.50852,0.85822,0.99676,1,0.995,0.995,0.15878,0.25719,0.76913,0.0003095,0.0003095,0.0003095
78,3616.75,0.28165,0.48948,0.85758,0.99659,1,0.995,0.995,0.14327,0.24918,0.76755,0.000297125,0.000297125,0.000297125
79,3649.71,0.27925,0.50517,0.86108,0.99638,1,0.995,0.99401,0.1599,0.25201,0.7685,0.00028475,0.00028475,0.00028475
80,3683.59,0.28468,0.50932,0.86266,0.99669,1,0.995,0.995,0.13397,0.24044,0.76665,0.000272375,0.000272375,0.000272375
81,3725.96,0.28132,0.54696,0.85612,0.99697,1,0.995,0.995,0.16343,0.25276,0.76862,0.00026,0.00026,0.00026
82,3777.23,0.26635,0.48175,0.85395,0.9968,1,0.995,0.995,0.14646,0.24745,0.76755,0.000247625,0.000247625,0.000247625
