class,name,median_long_or_side,median_short_or_side
0,square,128.55410766601562,128.55410766601562
1,rect1,182.5463409423828,71.63690185546875
2,rect2,195.0961151123047,115.10566711425781
3,rect3,181.0286865234375,81.35734558105469
