epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,5720.77,0.2609,0.27128,0.20408,0.79564,0,0.98564,1,0.99354,0.95112,0.97934,0.99375,0.99092,0.93533,0.27538,0.47897,0.22141,0.82312,0,0.0009035,0.0009035,0.0009035
30,5914.67,0.26671,0.26928,0.20769,0.79288,0,0.98047,1,0.99262,0.94965,0.9751,0.99383,0.99201,0.93726,0.29824,0.46934,0.22231,0.83044,0,0.000891125,0.000891125,0.000891125
31,6100.07,0.2535,0.27286,0.20728,0.79555,0,0.98755,0.99935,0.99488,0.95381,0.98755,0.99935,0.99488,0.94653,0.28046,0.42923,0.2162,0.82915,0,0.00087875,0.00087875,0.00087875
32,6291.38,0.26261,0.28015,0.20309,0.79399,0,0.98245,0.99193,0.99476,0.95328,0.98245,0.99193,0.99457,0.94082,0.28659,0.43082,0.22759,0.82464,0,0.000866375,0.000866375,0.000866375
33,6479.22,0.26331,0.25926,0.19616,0.79299,0,0.98291,0.99375,0.99476,0.94764,0.98026,0.99257,0.99324,0.94016,0.29599,0.43848,0.23083,0.83104,0,0.000854,0.000854,0.000854
34,6663.75,0.26342,0.26382,0.2035,0.78851,0,0.98691,0.99284,0.9947,0.95698,0.9855,0.99442,0.99439,0.94725,0.31113,0.46245,0.22548,0.83355,0,0.000841625,0.000841625,0.000841625
35,6856.09,0.26234,0.29503,0.19559,0.78957,0,0.99109,1,0.995,0.95787,0.99109,1,0.995,0.94504,0.29778,0.45119,0.2159,0.83478,0,0.00082925,0.00082925,0.00082925
36,7046.47,0.25855,0.27736,0.19588,0.78898,0,0.99511,0.9987,0.995,0.93868,0.9708,0.97687,0.97533,0.91433,0.31014,0.60967,0.23632,0.84295,0,0.000816875,0.000816875,0.000816875
37,7236.39,0.2487,0.28627,0.19383,0.79268,0,0.98934,1,0.99274,0.9552,0.97937,0.993,0.98629,0.94173,0.28835,0.48443,0.22068,0.82501,0,0.0008045,0.0008045,0.0008045
38,7429.12,0.24094,0.27192,0.19119,0.79252,0,0.99603,1,0.995,0.95798,0.98993,0.99714,0.9947,0.94431,0.27184,0.47418,0.19984,0.8213,0,0.000792125,0.000792125,0.000792125
39,7616.84,0.23336,0.25346,0.18305,0.78125,0,0.99146,0.99646,0.995,0.95652,0.98657,0.9875,0.9944,0.95056,0.27903,0.44588,0.20477,0.82409,0,0.00077975,0.00077975,0.00077975
40,7798.53,0.23072,0.24138,0.17873,0.77561,0,0.99638,0.9937,0.995,0.96095,0.97879,1,0.99417,0.94598,0.27357,0.42239,0.20368,0.82451,0,0.000767375,0.000767375,0.000767375
41,7999.57,0.22172,0.23418,0.17237,0.78419,0,0.98926,1,0.99488,0.95629,0.98095,1,0.99417,0.94389,0.27771,0.45095,0.20117,0.82993,0,0.000755,0.000755,0.000755
