epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2023.72,0.48803,0.76595,0.91836,0.99668,1,0.995,0.94639,0.33367,0.38294,0.79919,0.00073025,0.00073025,0.00073025
44,2070.72,0.49232,0.72713,0.92121,0.99687,1,0.995,0.96236,0.27004,0.34751,0.78912,0.000717875,0.000717875,0.000717875
45,2119.28,0.45991,0.69013,0.88435,0.99787,1,0.995,0.9452,0.35038,0.37909,0.8003,0.0007055,0.0007055,0.0007055
46,2172.38,0.48125,0.6921,0.91331,0.99773,1,0.995,0.95649,0.30762,0.36861,0.78937,0.000693125,0.000693125,0.000693125
47,2220.42,0.50967,0.74132,0.91882,0.99616,0.99885,0.995,0.9317,0.36834,0.38008,0.80323,0.00068075,0.00068075,0.00068075
48,2280.22,0.46705,0.69868,0.90235,0.99501,1,0.995,0.96488,0.28381,0.35472,0.79015,0.000668375,0.000668375,0.000668375
49,2345.87,0.46277,0.70564,0.89713,0.99613,1,0.995,0.94022,0.36711,0.36974,0.80526,0.000656,0.000656,0.000656
50,2415.19,0.45933,0.67718,0.91326,0.99783,1,0.995,0.95629,0.29746,0.34675,0.79178,0.000643625,0.000643625,0.000643625
51,2483.63,0.45321,0.6647,0.90226,0.99634,1,0.995,0.94126,0.3433,0.37401,0.79478,0.00063125,0.00063125,0.00063125
52,2539.66,0.47195,0.71198,0.91115,0.99624,1,0.995,0.95499,0.30315,0.35932,0.79129,0.000618875,0.000618875,0.000618875
53,2578.99,0.45427,0.67907,0.89868,0.99785,1,0.995,0.97392,0.25828,0.32117,0.78411,0.0006065,0.0006065,0.0006065
54,2628.8,0.44861,0.65527,0.90644,0.99828,1,0.995,0.9653,0.27797,0.32111,0.78889,0.000594125,0.000594125,0.000594125
55,2677.83,0.4165,0.6308,0.88806,0.99768,1,0.995,0.95316,0.28729,0.32442,0.79056,0.00058175,0.00058175,0.00058175
56,2727.46,0.44166,0.65208,0.89713,0.99739,1,0.995,0.9519,0.32395,0.33845,0.79485,0.000569375,0.000569375,0.000569375
57,2778.9,0.42568,0.63543,0.89013,0.99711,1,0.995,0.95745,0.29605,0.3265,0.78931,0.000557,0.000557,0.000557
