epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,3607.84,0.18692,0.6787,0.77256,0.99808,1,0.995,0.97137,0.22197,0.70171,0.72677,0.000584844,0.000584844,0.000584844
45,3721.02,0.18905,0.69989,0.77197,0.99753,1,0.995,0.97753,0.19087,0.68146,0.71918,0.000569375,0.000569375,0.000569375
46,3828.85,0.18489,0.65863,0.76029,0.99834,1,0.995,0.97781,0.19259,0.64561,0.71986,0.000553906,0.000553906,0.000553906
47,3951.72,0.17648,0.63274,0.76538,0.99859,1,0.995,0.97628,0.18372,0.63436,0.71649,0.000538438,0.000538438,0.000538438
48,4038.99,0.1759,0.62639,0.77038,0.99831,1,0.995,0.981,0.18264,0.62623,0.71626,0.000522969,0.000522969,0.000522969
49,4115.96,0.17738,0.62958,0.77323,0.99846,1,0.995,0.98067,0.17879,0.61886,0.71721,0.0005075,0.0005075,0.0005075
50,4180.76,0.17168,0.62133,0.76442,0.99808,1,0.995,0.97955,0.1791,0.62278,0.71589,0.000492031,0.000492031,0.000492031
51,4253.06,0.17895,0.63308,0.76924,0.998,1,0.995,0.97859,0.19568,0.63701,0.71955,0.000476562,0.000476562,0.000476562
52,4334.24,0.17078,0.62325,0.7731,0.99819,1,0.995,0.98247,0.1749,0.61813,0.71543,0.000461094,0.000461094,0.000461094
53,4436.04,0.16966,0.60667,0.76791,0.99848,1,0.995,0.97921,0.17661,0.61463,0.71656,0.000445625,0.000445625,0.000445625
54,4535.62,0.1589,0.59468,0.75836,0.99846,1,0.995,0.98132,0.16509,0.60251,0.71416,0.000430156,0.000430156,0.000430156
55,4696.91,0.15094,0.5754,0.77507,0.99842,1,0.995,0.98334,0.16618,0.57296,0.71522,0.000414688,0.000414688,0.000414688
56,4822.64,0.15967,0.6004,0.76182,0.99842,1,0.995,0.98439,0.16389,0.5793,0.7142,0.000399219,0.000399219,0.000399219
57,4945.87,0.15142,0.58522,0.76389,0.99849,1,0.995,0.9831,0.16489,0.59383,0.71386,0.00038375,0.00038375,0.00038375
58,5089.72,0.1546,0.57824,0.75911,0.99832,1,0.995,0.98227,0.16375,0.56991,0.71467,0.000368281,0.000368281,0.000368281
59,5226.61,0.15497,0.58161,0.77074,0.99818,1,0.995,0.97968,0.17234,0.57388,0.71513,0.000352812,0.000352812,0.000352812
60,5370.14,0.1531,0.57146,0.75813,0.9983,1,0.995,0.98233,0.1674,0.56488,0.71469,0.000337344,0.000337344,0.000337344
61,5524.16,0.14864,0.55324,0.7582,0.99851,1,0.995,0.9783,0.16886,0.55579,0.71588,0.000321875,0.000321875,0.000321875
62,5685.43,0.14854,0.54396,0.75543,0.99843,1,0.995,0.9825,0.16093,0.5497,0.71403,0.000306406,0.000306406,0.000306406
63,5824.38,0.1465,0.55399,0.75544,0.99829,1,0.995,0.98304,0.1581,0.53875,0.71373,0.000290937,0.000290937,0.000290937
64,5961.35,0.14023,0.54221,0.75951,0.99838,1,0.995,0.98457,0.15646,0.5402,0.71286,0.000275469,0.000275469,0.000275469
